customer_id,recency,frequency,monetary,recency_cluster,frequency_cluster,monetary_cluster,final_score,segment
12347,40,182,4309.999999999997,4,1,0,5,Master
12360,53,129,2662.0600000000004,4,1,0,5,Master
12370,52,166,3541.939999999998,4,1,0,5,Master
12395,5,159,2998.279999999999,4,1,0,5,Master
12406,22,108,3280.7500000000014,4,1,0,5,Master
12417,40,198,3578.8,4,1,0,5,Master
12449,23,191,4067.2900000000013,4,1,0,5,Master
12456,45,129,3153.889999999998,4,1,0,5,Master
12473,54,178,2837.7299999999996,4,1,0,5,Master
12480,29,154,3281.6300000000015,4,1,0,5,Master
12517,29,281,2443.65,4,1,0,5,Master
12518,0,124,2056.8899999999994,4,1,0,5,Master
12520,37,155,2582.5099999999998,4,1,0,5,Master
12523,9,110,1745.5700000000006,4,1,0,5,Master
12536,30,273,4106.820000000003,4,1,0,5,Master
12539,23,274,3852.4999999999986,4,1,0,5,Master
12553,0,196,3652.2500000000014,4,1,0,5,Master
12556,33,119,599.5599999999997,4,1,0,5,Master
12562,23,168,3781.7400000000025,4,1,0,5,Master
12569,0,191,4064.989999999999,4,1,0,5,Master
12578,22,120,2753.3599999999988,4,1,0,5,Master
12584,10,126,1893.9500000000005,4,1,0,5,Master
12594,47,119,3320.2199999999984,4,1,0,5,Master
12597,20,214,3683.1300000000015,4,1,0,5,Master
12598,10,133,3002.679999999999,4,1,0,5,Master
12607,0,202,3.339550858072471e-13,4,1,0,5,Master
12610,23,111,2057.9900000000007,4,1,0,5,Master
12647,23,128,3669.9200000000005,4,1,0,5,Master
12656,2,130,3982.720000000002,4,1,0,5,Master
12662,23,232,3817.079999999998,4,1,0,5,Master
12668,12,168,3743.180000000002,4,1,0,5,Master
12685,29,157,2863.0800000000004,4,1,0,5,Master
12708,37,174,2616.320000000001,4,1,0,5,Master
12712,9,142,4241.629999999999,4,1,0,5,Master
12726,29,124,2609.1000000000004,4,1,0,5,Master
12727,11,141,3947.7000000000003,4,1,0,5,Master
12749,23,231,3868.2000000000016,4,1,0,5,Master
12779,22,159,3868.700000000003,4,1,0,5,Master
12836,30,174,2610.3599999999988,4,1,0,5,Master
12854,6,114,1280.9000000000003,4,1,0,5,Master
12856,19,314,2153.530000000001,4,1,0,5,Master
12868,9,107,1607.0600000000009,4,1,0,5,Master
12877,25,154,1535.7700000000007,4,1,0,5,Master
12933,25,107,606.2799999999999,4,1,0,5,Master
12935,27,130,2156.4499999999994,4,1,0,5,Master
12937,16,120,1504.2700000000004,4,1,0,5,Master
12948,17,118,2053.7,4,1,0,5,Master
12957,10,244,3979.0400000000022,4,1,0,5,Master
12965,31,108,769.8099999999997,4,1,0,5,Master
13014,11,124,3365.4300000000003,4,1,0,5,Master
13015,54,175,3339.6400000000017,4,1,0,5,Master
13021,26,134,2584.3999999999996,4,1,0,5,Master
13047,47,196,3079.1000000000013,4,1,0,5,Master
13048,15,136,1789.4099999999994,4,1,0,5,Master
13110,54,146,1452.8700000000006,4,1,0,5,Master
13115,0,132,2205.6300000000006,4,1,0,5,Master
13124,31,222,3756.329999999998,4,1,0,5,Master
13126,39,142,2056.29,4,1,0,5,Master
13136,0,139,2545.3800000000006,4,1,0,5,Master
13159,51,121,1371.2500000000007,4,1,0,5,Master
13174,17,293,2742.8200000000006,4,1,0,5,Master
13184,15,181,1616.450000000001,4,1,0,5,Master
13196,12,110,1797.78,4,1,0,5,Master
13198,11,229,3384.0899999999974,4,1,0,5,Master
13208,0,149,1199.6499999999999,4,1,0,5,Master
13212,10,142,779.3299999999998,4,1,0,5,Master
13224,33,109,2150.8499999999995,4,1,0,5,Master
13232,4,202,1328.3500000000013,4,1,0,5,Master
13246,19,138,1896.3200000000008,4,1,0,5,Master
13266,12,202,3717.6699999999996,4,1,0,5,Master
13267,9,224,4404.440000000001,4,1,0,5,Master
13285,24,187,2709.1200000000003,4,1,0,5,Master
13309,1,107,1456.7899999999993,4,1,0,5,Master
13320,4,109,1475.2000000000003,4,1,0,5,Master
13362,10,169,3085.4899999999984,4,1,0,5,Master
13381,22,173,3626.8100000000004,4,1,0,5,Master
13384,46,155,4122.28,4,1,0,5,Master
13394,33,164,2312.7999999999997,4,1,0,5,Master
13422,52,128,2601.5500000000006,4,1,0,5,Master
13426,11,159,3550.6999999999975,4,1,0,5,Master
13437,15,167,3408.0599999999995,4,1,0,5,Master
13448,17,198,3460.990000000002,4,1,0,5,Master
13471,22,254,2501.839999999998,4,1,0,5,Master
13481,46,112,1776.809999999999,4,1,0,5,Master
13510,46,117,1785.1599999999983,4,1,0,5,Master
13517,30,143,2109.0699999999997,4,1,0,5,Master
13523,47,177,3755.3800000000006,4,1,0,5,Master
13527,31,218,2218.61,4,1,0,5,Master
13536,10,178,3444.3899999999985,4,1,0,5,Master
13558,24,169,594.5199999999999,4,1,0,5,Master
13566,41,169,856.8399999999998,4,1,0,5,Master
13588,16,180,2445.119999999998,4,1,0,5,Master
13596,13,146,664.1099999999999,4,1,0,5,Master
13610,13,217,1065.8800000000003,4,1,0,5,Master
13614,25,195,1585.460000000001,4,1,0,5,Master
13632,25,146,2114.68,4,1,0,5,Master
13634,36,186,1547.3600000000004,4,1,0,5,Master
13644,17,148,2597.5200000000013,4,1,0,5,Master
13654,36,166,2707.329999999999,4,1,0,5,Master
13658,10,112,2421.470000000002,4,1,0,5,Master
13680,40,215,2199.0099999999993,4,1,0,5,Master
13700,6,194,2248.6299999999997,4,1,0,5,Master
13704,0,135,2295.3099999999986,4,1,0,5,Master
13725,38,118,1809.8100000000002,4,1,0,5,Master
13735,25,207,2764.4799999999973,4,1,0,5,Master
13742,17,315,3079.2700000000013,4,1,0,5,Master
13755,10,322,2101.3900000000012,4,1,0,5,Master
13758,12,117,3190.550000000001,4,1,0,5,Master
13782,13,113,908.8599999999992,4,1,0,5,Master
13815,23,177,4014.9099999999985,4,1,0,5,Master
13842,0,206,3385.619999999999,4,1,0,5,Master
13862,19,142,2187.3100000000013,4,1,0,5,Master
13870,41,118,2751.250000000001,4,1,0,5,Master
13880,22,165,3219.7700000000004,4,1,0,5,Master
13883,4,155,2538.749999999999,4,1,0,5,Master
13890,19,114,1860.8599999999992,4,1,0,5,Master
13895,22,119,2588.1199999999994,4,1,0,5,Master
13908,4,126,2347.0499999999984,4,1,0,5,Master
13924,10,137,1682.0800000000004,4,1,0,5,Master
13949,25,160,2427.3199999999974,4,1,0,5,Master
13952,4,138,3246.091,4,1,0,5,Master
13971,4,158,2702.2199999999993,4,1,0,5,Master
13982,40,115,1861.11,4,1,0,5,Master
13983,0,112,2590.46,4,1,0,5,Master
13988,20,239,4098.800000000001,4,1,0,5,Master
13993,31,125,3409.6600000000003,4,1,0,5,Master
13994,40,148,2274.140000000001,4,1,0,5,Master
13999,11,212,3865.2600000000034,4,1,0,5,Master
14030,19,242,2358.8399999999997,4,1,0,5,Master
14032,6,152,2929.840000000001,4,1,0,5,Master
14040,9,235,3487.59,4,1,0,5,Master
14044,27,206,646.4199999999994,4,1,0,5,Master
14083,37,177,1002.8999999999999,4,1,0,5,Master
14092,24,217,4063.100000000003,4,1,0,5,Master
14099,17,252,3092.9700000000003,4,1,0,5,Master
14107,52,124,2688.48,4,1,0,5,Master
14112,23,173,2774.1699999999964,4,1,0,5,Master
14121,11,161,2740.3,4,1,0,5,Master
14125,11,166,2720.6300000000015,4,1,0,5,Master
14132,3,201,3580.130000000001,4,1,0,5,Master
14175,30,164,3108.0600000000018,4,1,0,5,Master
14178,29,318,1600.26,4,1,0,5,Master
14179,41,157,701.5699999999997,4,1,0,5,Master
14211,54,118,2208.2999999999997,4,1,0,5,Master
14215,12,109,1777.9200000000008,4,1,0,5,Master
14217,10,107,1925.36,4,1,0,5,Master
14221,43,194,3427.849999999999,4,1,0,5,Master
14227,27,183,3315.710000000002,4,1,0,5,Master
14232,43,118,2043.9300000000003,4,1,0,5,Master
14234,22,147,754.1200000000003,4,1,0,5,Master
14239,44,116,2323.5000000000014,4,1,0,5,Master
14250,31,111,1904.0500000000002,4,1,0,5,Master
14257,52,107,3087.27,4,1,0,5,Master
14262,18,143,2618.230000000001,4,1,0,5,Master
14277,16,225,3928.7999999999997,4,1,0,5,Master
14282,20,154,3701.4400000000046,4,1,0,5,Master
14291,32,238,3873.2999999999984,4,1,0,5,Master
14299,0,162,2855.3499999999995,4,1,0,5,Master
14305,32,110,1803.76,4,1,0,5,Master
14307,1,180,2995.7200000000007,4,1,0,5,Master
14309,29,123,2319.6800000000007,4,1,0,5,Master
14321,11,123,1530.749999999999,4,1,0,5,Master
14334,17,163,2539.4600000000005,4,1,0,5,Master
14341,46,129,2151.0799999999986,4,1,0,5,Master
14382,27,126,615.4900000000001,4,1,0,5,Master
14388,11,191,3172.040000000002,4,1,0,5,Master
14410,16,282,573.4499999999999,4,1,0,5,Master
14418,26,124,1937.2500000000002,4,1,0,5,Master
14419,11,202,1051.79,4,1,0,5,Master
14422,18,222,4263.64,4,1,0,5,Master
14426,19,264,3918.9000000000005,4,1,0,5,Master
14428,47,141,1209.3700000000003,4,1,0,5,Master
14446,29,277,1010.3500000000005,4,1,0,5,Master
14449,19,250,885.7999999999998,4,1,0,5,Master
14462,32,239,1942.45,4,1,0,5,Master
14482,19,137,2022.8100000000006,4,1,0,5,Master
14487,27,141,1152.7300000000002,4,1,0,5,Master
14493,17,123,2362.8400000000006,4,1,0,5,Master
14498,43,193,1957.3200000000004,4,1,0,5,Master
14499,27,190,808.4399999999999,4,1,0,5,Master
14503,11,164,3543.2600000000016,4,1,0,5,Master
14504,48,107,673.2599999999995,4,1,0,5,Master
14506,18,295,1960.6500000000012,4,1,0,5,Master
14525,20,289,4105.069999999997,4,1,0,5,Master
14530,26,213,2862.1100000000015,4,1,0,5,Master
14544,25,111,2004.3000000000004,4,1,0,5,Master
14553,20,113,859.27,4,1,0,5,Master
14554,11,203,2279.490000000001,4,1,0,5,Master
14572,41,265,2775.3900000000012,4,1,0,5,Master
14573,35,233,1590.1200000000013,4,1,0,5,Master
14577,13,123,859.7100000000011,4,1,0,5,Master
14591,16,176,1320.2100000000005,4,1,0,5,Master
14593,22,151,617.1500000000001,4,1,0,5,Master
14623,43,134,866.8,4,1,0,5,Master
14626,24,126,2757.0699999999997,4,1,0,5,Master
14629,48,151,935.4600000000002,4,1,0,5,Master
14639,32,175,2952.3400000000024,4,1,0,5,Master
14640,16,112,2024.4499999999991,4,1,0,5,Master
14649,35,186,1402.59,4,1,0,5,Master
14653,10,234,1926.6499999999996,4,1,0,5,Master
14657,18,127,838.2700000000001,4,1,0,5,Master
14662,29,157,741.3700000000003,4,1,0,5,Master
14665,31,117,1258.3800000000003,4,1,0,5,Master
14669,6,166,1259.2400000000002,4,1,0,5,Master
14696,2,133,2070.97,4,1,0,5,Master
14698,16,200,1217.2700000000013,4,1,0,5,Master
14710,15,136,599.4800000000001,4,1,0,5,Master
14719,11,236,1571.8900000000006,4,1,0,5,Master
14723,11,259,1122.3600000000001,4,1,0,5,Master
14732,1,149,2686.3399999999997,4,1,0,5,Master
14776,52,134,2195.5799999999995,4,1,0,5,Master
14808,40,252,2152.799999999998,4,1,0,5,Master
14810,41,254,2085.329999999999,4,1,0,5,Master
14825,16,120,2221.0099999999984,4,1,0,5,Master
14837,31,110,1641.2000000000012,4,1,0,5,Master
14841,30,138,3295.7599999999993,4,1,0,5,Master
14842,44,158,2456.7999999999997,4,1,0,5,Master
14844,6,130,3189.8099999999995,4,1,0,5,Master
14852,0,143,2836.6899999999982,4,1,0,5,Master
14868,22,147,2939.640000000002,4,1,0,5,Master
14878,4,122,1476.0900000000006,4,1,0,5,Master
14898,24,112,1194.11,4,1,0,5,Master
14907,24,168,3478.8499999999976,4,1,0,5,Master
14963,10,192,1472.3400000000013,4,1,0,5,Master
14971,44,155,1097.9799999999993,4,1,0,5,Master
15006,52,132,480.37999999999977,4,1,0,5,Master
15009,13,180,1259.4299999999998,4,1,0,5,Master
15012,54,122,405.0399999999997,4,1,0,5,Master
15022,12,121,852.3899999999995,4,1,0,5,Master
15024,10,152,1636.4300000000005,4,1,0,5,Master
15038,0,128,645.8399999999997,4,1,0,5,Master
15051,3,142,1383.3600000000001,4,1,0,5,Master
15054,13,114,302.09999999999997,4,1,0,5,Master
15058,26,266,2102.540000000002,4,1,0,5,Master
15059,41,239,1325.8200000000006,4,1,0,5,Master
15060,10,115,294.24999999999994,4,1,0,5,Master
15089,11,145,2420.8400000000024,4,1,0,5,Master
15093,19,112,4410.139999999998,4,1,0,5,Master
15114,38,197,2760.5599999999977,4,1,0,5,Master
15203,26,142,1827.7999999999984,4,1,0,5,Master
15214,11,110,1661.44,4,1,0,5,Master
15220,52,119,1758.9199999999994,4,1,0,5,Master
15271,4,265,2472.0900000000015,4,1,0,5,Master
15281,0,150,2239.9499999999994,4,1,0,5,Master
15296,35,200,3610.3100000000004,4,1,0,5,Master
15298,11,194,3774.1000000000013,4,1,0,5,Master
